distribution_id,dtau_type,S_star_id,S,Sigma_id,distribution,tau,sigma_id,d,departure_id,stat_id,quantiles_id,zeta1_id,quantile_id,alpha,epsilon,norm,power
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0,Euclidean,0.0994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0,Euclidean,0.0498
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0,Euclidean,0.0246
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0,Supremum,0.0884
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0,Supremum,0.0434
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0,Supremum,0.022
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.1,Euclidean,0.101
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.1,Euclidean,0.0496
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.1,Euclidean,0.024
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.1,Supremum,0.0892
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.1,Supremum,0.044
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.1,Supremum,0.0222
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.2,Euclidean,0.102
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.2,Euclidean,0.0506
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.2,Euclidean,0.0246
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.2,Supremum,0.0894
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.2,Supremum,0.0444
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.2,Supremum,0.0224
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.3,Euclidean,0.1044
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.3,Euclidean,0.0504
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.3,Euclidean,0.026
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.3,Supremum,0.09
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.3,Supremum,0.0452
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.3,Supremum,0.0234
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.4,Euclidean,0.106
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.4,Euclidean,0.0518
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.4,Euclidean,0.027
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.4,Supremum,0.093
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.4,Supremum,0.047
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.4,Supremum,0.024
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.5,Euclidean,0.1074
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.5,Euclidean,0.0526
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.5,Euclidean,0.0282
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.5,Supremum,0.0978
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.5,Supremum,0.0494
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.5,Supremum,0.0256
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.6,Euclidean,0.1104
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.6,Euclidean,0.0532
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.6,Euclidean,0.029
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.6,Supremum,0.101
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.6,Supremum,0.0528
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.6,Supremum,0.0278
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.7,Euclidean,0.113
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.7,Euclidean,0.0554
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.7,Euclidean,0.0302
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.7,Supremum,0.107
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.7,Supremum,0.0572
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.7,Supremum,0.0314
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.8,Euclidean,0.1174
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.8,Euclidean,0.059
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.8,Euclidean,0.031
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.8,Supremum,0.1156
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.8,Supremum,0.063
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.8,Supremum,0.0358
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.9,Euclidean,0.1238
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.9,Euclidean,0.0626
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.9,Euclidean,0.0338
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.9,Supremum,0.1262
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.9,Supremum,0.0714
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.9,Supremum,0.0414
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1,Euclidean,0.1316
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1,Euclidean,0.067
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1,Euclidean,0.0352
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1,Supremum,0.144
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1,Supremum,0.0834
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1,Supremum,0.0508
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.1,Euclidean,0.1372
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.1,Euclidean,0.0702
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.1,Euclidean,0.0364
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.1,Supremum,0.1658
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.1,Supremum,0.1026
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.1,Supremum,0.0606
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.2,Euclidean,0.1448
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.2,Euclidean,0.0734
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.2,Euclidean,0.0374
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.2,Supremum,0.1972
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.2,Supremum,0.1264
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.2,Supremum,0.0788
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.3,Euclidean,0.1534
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.3,Euclidean,0.0792
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.3,Euclidean,0.0398
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.3,Supremum,0.2338
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.3,Supremum,0.1578
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.3,Supremum,0.1018
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.4,Euclidean,0.1626
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.4,Euclidean,0.0862
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.4,Euclidean,0.043
