n,d,tau,S,Sh,norm,dtau,dtau_type,distribution,rejection_rate,pvalue_NA_rate,N,psd_rate,pd_rate
150,50,0.6,I,ShJ,Euclidean,0.2,column,normal,100,0,2500,,
150,50,0.6,I,ShJ,Supremum,0.2,column,normal,100,0,2500,,
100,50,0.6,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
100,50,0.6,I,ShJ,Supremum,0,none,normal,1,0,2500,,
150,50,0,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
150,50,0,I,ShJ,Supremum,0,none,normal,3.4,0,2500,,
100,50,0.3,I,ShJ,Euclidean,0.1,column,normal,10.76,0,2500,,
100,50,0.3,I,ShJ,Supremum,0.1,column,normal,37.08,0,2500,,
150,50,0.3,I,ShJ,Euclidean,0.2,column,normal,99.6,0,2500,,
150,50,0.3,I,ShJ,Supremum,0.2,column,normal,99.96,0,2500,,
50,50,0,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
50,50,0,I,ShJ,Supremum,0,none,normal,1.36,0,2500,,
100,50,0.6,I,ShJ,Euclidean,0.1,column,normal,59.88,0,2500,,
100,50,0.6,I,ShJ,Supremum,0.1,column,normal,88.28,0,2500,,
100,50,0,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
100,50,0,I,ShJ,Supremum,0,none,normal,2.6,0,2500,,
150,50,0.6,I,ShJ,Euclidean,0.2,single,normal,0.52,0,2500,,
150,50,0.6,I,ShJ,Supremum,0.2,single,normal,100,0,2500,,
150,50,0.6,I,ShJ,Euclidean,0,none,normal,0.12,0,2500,,
150,50,0.6,I,ShJ,Supremum,0,none,normal,1.96,0,2500,,
150,50,0,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
150,50,0,I,ShJ,Supremum,0.1,single,normal,3.96,0,2500,,
150,50,0,I,ShJ,Euclidean,0.2,column,normal,95.92,0,2500,,
150,50,0,I,ShJ,Supremum,0.2,column,normal,98.88,0,2500,,
150,50,0,I,ShJ,Euclidean,0.1,column,normal,10.84,0,2500,,
150,50,0,I,ShJ,Supremum,0.1,column,normal,36.36,0,2500,,
150,50,0.3,I,ShJ,Euclidean,0.1,column,normal,35.24,0,2500,,
150,50,0.3,I,ShJ,Supremum,0.1,column,normal,61.76,0,2500,,
50,50,0,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
50,50,0,I,ShJ,Supremum,0.1,single,normal,1.08,0,2500,,
