n,d,tau,S,Sh,norm,dtau,dtau_type,distribution,level,N,N,mean_PSD
150,50,0.3,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
150,50,0.3,I,ShJ,Supremum,0.1,single,t4,4.5,1,1000,
150,50,0,I,ShJ,Euclidean,0,none,t4,0,1,1000,
150,50,0,I,ShJ,Supremum,0,none,t4,4,1,1000,
50,50,0.6,I,ShJ,Euclidean,0.1,column,t4,1.4,1,1000,
50,50,0.6,I,ShJ,Supremum,0.1,column,t4,25.7,1,1000,
100,50,0,I,ShJ,Euclidean,0.1,column,t4,0.3,1,1000,
100,50,0,I,ShJ,Supremum,0.1,column,t4,13.1,1,1000,
50,50,0.3,I,ShJ,Euclidean,0.1,column,t4,0.2,1,1000,
50,50,0.3,I,ShJ,Supremum,0.1,column,t4,10,1,1000,
150,50,0.6,I,ShJ,Euclidean,0.2,column,t4,100,1,1000,
150,50,0.6,I,ShJ,Supremum,0.2,column,t4,100,1,1000,
50,50,0.6,I,ShJ,Euclidean,0,none,t4,0,1,1000,
50,50,0.6,I,ShJ,Supremum,0,none,t4,1.1,1,1000,
100,50,0.6,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
100,50,0.6,I,ShJ,Supremum,0.1,single,t4,2.1,1,1000,
50,50,0.3,I,ShJ,Euclidean,0.2,column,t4,12.5,1,1000,
50,50,0.3,I,ShJ,Supremum,0.2,column,t4,58.9,1,1000,
150,50,0.3,I,ShJ,Euclidean,0.1,column,t4,16.2,1,1000,
150,50,0.3,I,ShJ,Supremum,0.1,column,t4,47.4,1,1000,
150,50,0.6,I,ShJ,Euclidean,0.2,single,t4,0.2,1,1000,
150,50,0.6,I,ShJ,Supremum,0.2,single,t4,99.8,1,1000,
150,50,0,I,ShJ,Euclidean,0.1,column,t4,2.5,1,1000,
150,50,0,I,ShJ,Supremum,0.1,column,t4,23.4,1,1000,
50,50,0,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
50,50,0,I,ShJ,Supremum,0.1,single,t4,1.4,1,1000,
100,50,0.3,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
100,50,0.3,I,ShJ,Supremum,0.1,single,t4,3.4,1,1000,
100,50,0,I,ShJ,Euclidean,0,none,t4,0,1,1000,
100,50,0,I,ShJ,Supremum,0,none,t4,3.5,1,1000,
100,50,0.6,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
100,50,0.6,I,ShJ,Supremum,0.2,single,t4,90,1,1000,
100,50,0.6,I,ShJ,Euclidean,0.1,column,t4,31.2,1,1000,
100,50,0.6,I,ShJ,Supremum,0.1,column,t4,78.1,1,1000,
50,50,0.3,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
50,50,0.3,I,ShJ,Supremum,0.2,single,t4,2,1,1000,
150,50,0.3,I,ShJ,Euclidean,0.2,single,t4,0.2,1,1000,
150,50,0.3,I,ShJ,Supremum,0.2,single,t4,41.9,1,1000,
50,50,0,I,ShJ,Euclidean,0,none,t4,0,1,1000,
50,50,0,I,ShJ,Supremum,0,none,t4,1.5,1,1000,
100,50,0,I,ShJ,Euclidean,0.2,column,t4,38.1,1,1000,
100,50,0,I,ShJ,Supremum,0.2,column,t4,79.5,1,1000,
50,50,0.6,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
50,50,0.6,I,ShJ,Supremum,0.2,single,t4,6.3,1,1000,
50,50,0,I,ShJ,Euclidean,0.1,column,t4,0,1,1000,
50,50,0,I,ShJ,Supremum,0.1,column,t4,4.3,1,1000,
50,50,0.6,I,ShJ,Euclidean,0.2,column,t4,78.2,1,1000,
50,50,0.6,I,ShJ,Supremum,0.2,column,t4,98.3,1,1000,
150,50,0,I,ShJ,Euclidean,0.2,column,t4,85.5,1,1000,
150,50,0,I,ShJ,Supremum,0.2,column,t4,96.6,1,1000,
100,50,0.3,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
100,50,0.3,I,ShJ,Supremum,0.2,single,t4,13.5,1,1000,
150,50,0.6,I,ShJ,Euclidean,0.1,column,t4,76.7,1,1000,
150,50,0.6,I,ShJ,Supremum,0.1,column,t4,97.5,1,1000,
50,50,0.3,I,ShJ,Euclidean,0,none,t4,0,1,1000,
50,50,0.3,I,ShJ,Supremum,0,none,t4,2.3,1,1000,
150,50,0.6,I,ShJ,Euclidean,0,none,t4,0,1,1000,
150,50,0.6,I,ShJ,Supremum,0,none,t4,3.6,1,1000,
100,50,0.3,I,ShJ,Euclidean,0.2,column,t4,75.2,1,1000,
100,50,0.3,I,ShJ,Supremum,0.2,column,t4,96.3,1,1000,
150,50,0,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
150,50,0,I,ShJ,Supremum,0.2,single,t4,21.9,1,1000,
100,50,0,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
100,50,0,I,ShJ,Supremum,0.1,single,t4,2.4,1,1000,
100,50,0.3,I,ShJ,Euclidean,0.1,column,t4,2.5,1,1000,
100,50,0.3,I,ShJ,Supremum,0.1,column,t4,26.3,1,1000,
100,50,0,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
100,50,0,I,ShJ,Supremum,0.2,single,t4,8.2,1,1000,
150,50,0.3,I,ShJ,Euclidean,0.2,column,t4,96.1,1,1000,
150,50,0.3,I,ShJ,Supremum,0.2,column,t4,99.6,1,1000,
100,50,0.6,I,ShJ,Euclidean,0,none,t4,0.1,1,1000,
100,50,0.6,I,ShJ,Supremum,0,none,t4,2.3,1,1000,
100,50,0.6,I,ShJ,Euclidean,0.2,column,t4,100,1,1000,
100,50,0.6,I,ShJ,Supremum,0.2,column,t4,100,1,1000,
50,50,0,I,ShJ,Euclidean,0.2,column,t4,1.6,1,1000,
50,50,0,I,ShJ,Supremum,0.2,column,t4,37.7,1,1000,
150,50,0,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
150,50,0,I,ShJ,Supremum,0.1,single,t4,3.3,1,1000,
50,50,0,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
50,50,0,I,ShJ,Supremum,0.2,single,t4,2.1,1,1000,
100,50,0.3,I,ShJ,Euclidean,0,none,t4,0,1,1000,
100,50,0.3,I,ShJ,Supremum,0,none,t4,3.1,1,1000,
150,50,0.3,I,ShJ,Euclidean,0,none,t4,0.1,1,1000,
