n,d,S,Sh,norm,dtau,dtau_type,distribution,design,rejection_rate,pvalue_NA_rate,N,psd_rate,pd_rate
50,18,Sh,ShP,Euclidean,0.2,single,t4,unbalanced,25.4,0,1000,0,0
50,18,Sh,ShP,Supremum,0.2,single,t4,unbalanced,13.6,0,1000,0,0
50,18,I,ShP,Euclidean,0.2,single,t4,unbalanced,0.9,0,1000,0,0
50,18,I,ShP,Supremum,0.2,single,t4,unbalanced,10.3,0,1000,0,0
50,18,Sh,SbP,Euclidean,0.2,single,t4,unbalanced,7.4,0,1000,1,1
50,18,Sh,SbP,Supremum,0.2,single,t4,unbalanced,30.3,0,1000,1,1
50,18,I,SbP,Euclidean,0.2,single,t4,unbalanced,5.7,0,1000,1,1
50,18,I,SbP,Supremum,0.2,single,t4,unbalanced,10.7,0,1000,1,1
50,18,Sh,ShJ,Euclidean,0.2,single,t4,unbalanced,13.2,0,1000,1,0
50,18,Sh,ShJ,Supremum,0.2,single,t4,unbalanced,7.5,0,1000,1,0
50,18,I,ShJ,Euclidean,0.2,single,t4,unbalanced,0.2,0,1000,1,0
50,18,I,ShJ,Supremum,0.2,single,t4,unbalanced,7.9,0,1000,1,0
50,18,Sh,SbJ,Euclidean,0.2,single,t4,unbalanced,9.4,0,1000,1,1
50,18,Sh,SbJ,Supremum,0.2,single,t4,unbalanced,30.6,0,1000,1,1
50,18,I,SbJ,Euclidean,0.2,single,t4,unbalanced,6.9,0,1000,1,1
50,18,I,SbJ,Supremum,0.2,single,t4,unbalanced,10.7,0,1000,1,1
50,6,Sh,ShP,Euclidean,0.1,single,t4,unbalanced,44.1,0,1000,0.995,0.995
50,6,Sh,ShP,Supremum,0.1,single,t4,unbalanced,39.4,0,1000,0.995,0.995
50,6,I,ShP,Euclidean,0.1,single,t4,unbalanced,8.1,0,1000,0.995,0.995
50,6,I,ShP,Supremum,0.1,single,t4,unbalanced,8.2,0,1000,0.995,0.995
50,6,Sh,SbP,Euclidean,0.1,single,t4,unbalanced,2.5,0,1000,1,1
50,6,Sh,SbP,Supremum,0.1,single,t4,unbalanced,2.5,0,1000,1,1
50,6,I,SbP,Euclidean,0.1,single,t4,unbalanced,5.1,0,1000,1,1
50,6,I,SbP,Supremum,0.1,single,t4,unbalanced,6.5,0,1000,1,1
50,6,Sh,ShJ,Euclidean,0.1,single,t4,unbalanced,27.7,0,1000,1,1
50,6,Sh,ShJ,Supremum,0.1,single,t4,unbalanced,26.2,0,1000,1,1
50,6,I,ShJ,Euclidean,0.1,single,t4,unbalanced,5.6,0,1000,1,1
50,6,I,ShJ,Supremum,0.1,single,t4,unbalanced,6.4,0,1000,1,1
