n,d,tau,S,Sh,norm,dtau,dtau_type,distribution,rejection_rate,pvalue_NA_rate,N,psd_rate,pd_rate
150,50,0.3,I,ShJ,Euclidean,0.1,single,t4,0,0,1000,,
150,50,0.3,I,ShJ,Supremum,0.1,single,t4,4.5,0,1000,,
150,50,0,I,ShJ,Euclidean,0,none,t4,0,0,1000,,
150,50,0,I,ShJ,Supremum,0,none,t4,4,0,1000,,
50,50,0.6,I,ShJ,Euclidean,0.1,column,t4,1.4,0,1000,,
50,50,0.6,I,ShJ,Supremum,0.1,column,t4,25.7,0,1000,,
100,50,0,I,ShJ,Euclidean,0.1,column,t4,0.3,0,1000,,
100,50,0,I,ShJ,Supremum,0.1,column,t4,13.1,0,1000,,
50,50,0.3,I,ShJ,Euclidean,0.1,column,t4,0.2,0,1000,,
50,50,0.3,I,ShJ,Supremum,0.1,column,t4,10,0,1000,,
150,50,0.6,I,ShJ,Euclidean,0.2,column,t4,100,0,1000,,
150,50,0.6,I,ShJ,Supremum,0.2,column,t4,100,0,1000,,
50,50,0.6,I,ShJ,Euclidean,0,none,t4,0,0,1000,,
50,50,0.6,I,ShJ,Supremum,0,none,t4,1.1,0,1000,,
100,50,0.6,I,ShJ,Euclidean,0.1,single,t4,0,0,1000,,
100,50,0.6,I,ShJ,Supremum,0.1,single,t4,2.1,0,1000,,
50,50,0.3,I,ShJ,Euclidean,0.2,column,t4,12.5,0,1000,,
50,50,0.3,I,ShJ,Supremum,0.2,column,t4,58.9,0,1000,,
150,50,0.3,I,ShJ,Euclidean,0.1,column,t4,16.2,0,1000,,
150,50,0.3,I,ShJ,Supremum,0.1,column,t4,47.4,0,1000,,
150,50,0.6,I,ShJ,Euclidean,0.2,single,t4,0.2,0,1000,,
150,50,0.6,I,ShJ,Supremum,0.2,single,t4,99.8,0,1000,,
150,50,0,I,ShJ,Euclidean,0.1,column,t4,2.5,0,1000,,
150,50,0,I,ShJ,Supremum,0.1,column,t4,23.4,0,1000,,
50,50,0,I,ShJ,Euclidean,0.1,single,t4,0,0,1000,,
50,50,0,I,ShJ,Supremum,0.1,single,t4,1.4,0,1000,,
100,50,0.3,I,ShJ,Euclidean,0.1,single,t4,0,0,1000,,
100,50,0.3,I,ShJ,Supremum,0.1,single,t4,3.4,0,1000,,
100,50,0,I,ShJ,Euclidean,0,none,t4,0,0,1000,,
100,50,0,I,ShJ,Supremum,0,none,t4,3.5,0,1000,,
100,50,0.6,I,ShJ,Euclidean,0.2,single,t4,0,0,1000,,
100,50,0.6,I,ShJ,Supremum,0.2,single,t4,90,0,1000,,
100,50,0.6,I,ShJ,Euclidean,0.1,column,t4,31.2,0,1000,,
100,50,0.6,I,ShJ,Supremum,0.1,column,t4,78.1,0,1000,,
